Page No,URL,Start Time,End Time,Time Spent (sec)
1,https://www.streebo.com/lp-chatbot-for-telecom?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:41:12,2026-01-27 09:42:45,92.84
2,https://www.streebo.com/lp-field-service-manufacturing-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:42:45,2026-01-27 09:44:00,75.21
3,https://www.streebo.com/lp-travel-chatbot?%20utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:44:00,2026-01-27 09:45:19,78.53
4,https://www.streebo.com/lp-chatbot-for-retail?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:45:19,2026-01-27 09:46:37,77.73
5,https://www.streebo.com/lp-chatbot-for-airlines?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:46:37,2026-01-27 09:47:50,73.55
6,https://www.streebo.com/lp-chatbot-for-hospitality?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:47:50,2026-01-27 09:49:35,104.58
7,https://www.streebo.com/ai-orchestration?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:49:35,2026-01-27 09:51:10,95.28
8,https://www.streebo.com/lp-chatbot-for-banking?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:51:10,2026-01-27 09:52:24,73.84
9,https://www.streebo.com/lp-financial-services-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:52:24,2026-01-27 09:53:42,77.69
10,https://www.streebo.com/lp-chatbot-for-government?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:53:42,2026-01-27 09:54:44,62.82
11,https://www.streebo.com/lp-insurance-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:54:44,2026-01-27 09:55:59,74.95
12,https://www.streebo.com/lp-chatbot-for-healthcare?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:55:59,2026-01-27 09:57:23,83.73
13,https://www.streebo.com/lp-logistics-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:57:23,2026-01-27 09:58:50,86.69
14,https://www.streebo.com/lp-chatbot-for-education?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 09:58:50,2026-01-27 10:00:10,80.16
15,https://www.streebo.com/lp-chatbot-utility-sector?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:00:10,2026-01-27 10:01:31,80.57
16,https://www.streebo.com/lp-food-beverage-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:01:31,2026-01-27 10:02:54,83.0
17,https://www.streebo.com/lp-ai-pharmacy-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:02:54,2026-01-27 10:04:07,73.86
18,https://www.streebo.com/lp-chatbot-for-non-profit-organization?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:04:07,2026-01-27 10:05:30,82.2
19,https://www.streebo.com/lp-chatbot-for-telecom?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:05:30,2026-01-27 10:06:47,77.27
20,https://www.streebo.com/lp-field-service-manufacturing-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:06:47,2026-01-27 10:08:09,82.23
21,https://www.streebo.com/lp-chatbot-for-hr?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:08:09,2026-01-27 10:09:23,73.62
22,https://www.streebo.com/lp-oil-and-gas-chatbot?utm_source=linkedin&utm_medium=cpc&utm_campaign=retarget,2026-01-27 10:09:23,2026-01-27 10:10:38,75.61

Script Start,2026-01-27 09:41:12
Script End,2026-01-27 10:10:41
Total Time (sec),1769.0
